Echantillon,Al Concentration,Si Concentration,K Concentration,Ca Concentration,Ti Concentration,Mn Concentration,Fe Concentration,Co Concentration,Ni Concentration,Cu Concentration,Zn Concentration,As Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Sn Concentration,Bi Concentration
MAR5-G,9483,356638,1417,1495,265,79,29105,93,<LOD,10,5,<LOD,3,24,2,8,18,20
MAR7-G,1820,415910,393,910,<LOD,122,57994,118,<LOD,18,6,12,<LOD,<LOD,2,12,<LOD,39
MAR7-G,1363,416607,318,632,<LOD,120,57207,194,<LOD,15,5,14,1,2,2,13,<LOD,32
MAR7-H,<LOD,441106,50,722,<LOD,356,18331,80,<LOD,31,7,8,1,3,3,10,<LOD,44
MAR7-H,548,447501,134,686,<LOD,427,19957,80,15,31,8,9,1,5,3,11,<LOD,38
MAR7-B,1980,386789,1158,858,<LOD,537,79228,262,11,18,75,<LOD,2,<LOD,207,6,34,37
MAR7-B,1596,363818,990,848,<LOD,560,77187,222,<LOD,11,69,<LOD,1,<LOD,179,6,22,29
MAR5-G,7047,370592,1266,1375,313,77,21191,99,<LOD,9,6,<LOD,2,24,2,9,<LOD,22
MAR5-D,1308,378648,278,675,<LOD,86,49639,181,<LOD,<LOD,7,15,<LOD,<LOD,3,6,26,33
MAR5-D,1347,408398,290,520,<LOD,89,45201,159,<LOD,<LOD,8,11,<LOD,<LOD,4,5,26,45
MAR5-B,2022,349186,318,702,<LOD,123,81991,208,11,8,8,32,2,<LOD,3,4,<LOD,26
MAR5-B,2014,353222,180,803,<LOD,136,78962,221,11,9,14,31,<LOD,<LOD,3,5,33,29
